Date,Open,High,Low,Close,Adj Close,Volume
5/15/2013,29700,30000,29680,30000,23720.46289,10594800
5/16/2013,30020,30280,30000,30160,23846.97266,14657550
5/20/2013,30040,30240,29920,29940,23673.01953,12288850
5/21/2013,30200,30200,29700,29840,23593.95508,11600400
5/22/2013,30080,30200,29820,30180,23862.78906,9923100
5/23/2013,29840,30040,29680,29680,23467.44531,11994150
5/24/2013,29740,29880,29440,29720,23499.07227,10190600
5/27/2013,29800,29980,29740,29780,23546.51172,6146400
5/28/2013,29620,29920,29620,29680,23467.44531,11588050
5/29/2013,29680,30460,29660,30240,23910.22266,14760550
5/30/2013,30360,30980,30240,30880,24416.26172,22778000
5/31/2013,30920,31180,30740,30760,24321.375,18025050
6/3/2013,30720,31180,30560,30640,24226.5,10309450
6/4/2013,30660,30840,30420,30800,24353.00977,8496600
6/5/2013,30980,31060,30420,30420,24052.55078,13590650
6/7/2013,29500,29700,28480,28540,22566.06836,54290800
6/10/2013,28400,28860,28280,28500,22534.43555,26677700
6/11/2013,28220,28380,27560,27780,21965.14453,34613000
6/12/2013,27560,28060,27240,27700,21901.89258,22887650
6/13/2013,27600,27940,27140,27140,21459.10742,33509850
6/14/2013,27300,27540,27140,27380,21648.86914,17558350
6/17/2013,27400,27560,27300,27320,21601.42969,11758450
6/18/2013,27360,27740,27200,27740,21933.52148,11043050
6/19/2013,27640,27700,27280,27380,21648.86914,10270250
6/20/2013,26860,26960,26520,26580,21016.32422,17817950
6/21/2013,25880,26660,25800,26500,20953.07031,27677800
6/24/2013,27000,27000,26260,26260,20763.3125,15847900
6/25/2013,26020,26360,25760,25940,20510.29102,20774950
6/26/2013,26020,26100,24900,25220,19941.00195,31751200
6/27/2013,25900,26880,25720,26780,21182.86914,25756150
6/28/2013,27000,27000,26580,26840,21230.33008,20961250
7/1/2013,26680,26920,26440,26520,20977.20313,12825950
7/2/2013,26800,27040,26600,26700,21119.58203,10214450
7/3/2013,26680,26780,25900,26020,20581.70313,12822050
7/4/2013,26040,26340,25920,26340,20834.82617,9042650
7/5/2013,25720,26300,25200,25340,20043.83203,30382800
7/8/2013,25000,25160,24180,24520,19395.21289,26480150
7/9/2013,24600,25000,24580,24740,19569.23242,19694950
7/10/2013,24900,25040,24740,24960,19743.25391,17305650
7/11/2013,25020,26240,25020,26240,20755.7207,20788350
7/12/2013,26400,26480,26020,26240,20755.7207,11391300
7/15/2013,26300,26380,25700,26260,20771.54492,9629600
7/16/2013,26360,26420,25800,25960,20534.24805,9300950
7/17/2013,26020,26600,25720,26400,20882.28516,12302300
7/18/2013,26500,26500,25840,25840,20439.33008,15704200
7/19/2013,25760,25900,25280,25460,20138.75,16271300
7/22/2013,25600,25780,25300,25460,20138.75,10351150
7/23/2013,25460,26140,25440,26140,20676.62891,11948900
7/24/2013,26140,26340,25900,26300,20803.18555,8772650
7/25/2013,26340,26440,26160,26300,20803.18555,8495650
7/26/2013,26280,26380,25980,26060,20613.35156,13619550
7/29/2013,25820,26000,25580,25660,20296.95117,11821850
7/30/2013,25540,25900,25540,25800,20407.68945,9425350
7/31/2013,25600,25800,25580,25600,20249.48828,12735500
8/1/2013,25700,25760,25480,25600,20249.48828,9058900
8/2/2013,25860,26000,25640,25720,20344.41016,11241350
8/5/2013,25660,25660,25480,25480,20154.57031,8079850
8/6/2013,24900,25440,24900,25080,19838.16992,14493700
8/7/2013,24740,24800,24440,24440,19331.93359,15778100
8/8/2013,24260,24700,24260,24340,19252.83203,17910800
8/9/2013,24580,24820,24400,24600,19458.49414,12080200
8/12/2013,24600,24960,24500,24640,19490.13672,10140600
8/13/2013,24880,25800,24840,25800,20407.68945,20929450
8/14/2013,25780,26000,25700,26000,20565.88281,13005100
8/16/2013,25720,26020,25640,25900,20486.78516,11416600
8/19/2013,25720,25920,25600,25720,20344.41016,6499850
8/20/2013,25920,26100,25380,25380,20075.4707,14230950
8/21/2013,25300,25640,25120,25120,19869.80273,12346050
8/22/2013,25000,25340,24900,25100,19853.99219,11984850
8/23/2013,25600,26000,25420,25900,20486.78516,17203400
8/26/2013,26020,26100,25920,26000,20565.88281,11519650
8/27/2013,26140,26180,25900,26080,20629.16602,9130800
8/28/2013,25680,26200,25680,26180,20708.26758,9492550
8/29/2013,26340,26960,26280,26880,21261.96875,16315000
8/30/2013,27200,27360,27020,27360,21641.64063,17135800
9/2/2013,27360,27420,27000,27020,21372.70508,10081600
9/3/2013,27280,27280,26520,26740,21151.22461,11798500
9/4/2013,26600,27080,26420,26800,21198.68945,10920050
9/5/2013,27400,27420,27160,27300,21594.18359,15100100
9/6/2013,27400,27500,27160,27380,21657.45703,11937950
9/9/2013,27420,27500,27260,27460,21720.73828,9291550
9/10/2013,27380,27920,27360,27920,22084.59961,14717650
9/11/2013,27960,28040,27700,28040,22179.51758,13353000
9/12/2013,28100,28480,27900,28200,22306.07617,21805400
9/13/2013,28180,28200,27920,28120,22242.79492,12281500
9/16/2013,28460,28500,28220,28500,22543.37305,11710700
9/17/2013,28400,28400,27620,27720,21926.40234,17181350
9/23/2013,27300,27620,27060,27200,21515.08203,24362900
9/24/2013,26840,27580,26760,27460,21720.73828,15138900
9/25/2013,27340,27480,27020,27280,21578.36133,11176450
